Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
252;Laouzas;"Retenue ""classique""";Occitanie;Tarn;Nages;vebre;1965;43,6342;2,75611;43,634598;2,755911;43,637984;2,756555;48;45,16;283;217;777;Conseil Départemental Du Gard;Crues
253;Laparan;à déterminer;Occitanie;Ariège;Aston;Aston;1985;42,6764;1,70333;42,67684;1,703022;42,6746;1,704396;76;15,7;38,5;34,8;1541;EDF;Irrigation / alimentation en eau
254;Laprade;"Retenue ""classique""";Occitanie;Aude;Cuxac-Cabardès;Dure;1984;43,4144;2,27861;43,414746;2,278221;43,418674;2,276289;27;8,8;89;12;773;Syndicat Mixte De La Bancalie / Compagnie Générale Des Eaux;Irrigation/Alimentation en eau/Loisirs
255;Lartige;à déterminer;Nouvelle Aquitaine;Haute-Vienne;Saint-Léonard-de-Noblat;La Maulde;1958;45,8075;1,53194;;;;;16;2,02;30;484;288;EDF;Hydroélectricité
256;Lastioulles Nord;"Retenue ""classique""";Auvergne-Rhône-Alpes;Cantal;Trémouille;Cregut;1970;45,4003;2,65028;45,400702;2,650637;45,39796;2,654027;15,5;10,2;126;9;854;EDF;Hydroélectricité
257;Lastioulles Sud;;Auvergne-Rhône-Alpes;Cantal;Trémouille;Cregut;1970;45,3967;2,65028;;;;;21,5;11,4;xx126;9;854,5;EDF;Hydroélectricité
258;Latrille;"Retenue ""classique""";Nouvelle Aquitaine;Landes;Latrille;Brousseau;1995;43,6408;-0,282778;43,641144;-0,282325;43,639156;-0,281746;15,5;2,4;42;13,4;156;CACG;Alimentation en eau / Irrigation
259;Lauch;;Grand-Est;Haut-Rhin;Linthal;Lauch;?;47,9353;7,04556;;;;;22;0,68;13,8;5,5;942,04;Etat;Alimentation en eau , Crures, Hydroélectricité
260;Lavalette;"Retenue ""classique""";Auvergne-Rhône-Alpes;Haute-Loire;Lapte;Le Lignon du Velay;1949;45,1492;4,21361;45,149946;4,211753;45,147192;4,21362;60;41;305;350;811;Commune de Saint-Etienne;Alimentation en eau / hydroélectricité / Loisirs
261;Lavaud;"Retenue ""classique""";Nouvelle Aquitaine;Charente;Saint-Quentin-sur-Charente;La Charente;1991;45,8261;0,685556;45,825958;0,685459;45,824344;0,687562;21;10;185;40;227;Conseil Départemental Charente;Alimentation en eau et Loisirs.
262;Lavaud gelade;"Retenue ""classique""";Nouvelle Aquitaine;Creuse;Royère-de-Vassivière;Le Taurion;1944;45,8567;1,95333;45,856793;1,953445;45,8568;1,955108;20,5;17,4;250;46;676;EDF;Hydroélectricité
263;Lavit de Lomagne;à déterminer;Occitanie;Tarn-et-Garonne;Montgaillard;Tison;1961;43,9492;0,890994;;;;;14;0,48;10,7;2,2;182;CACG;irrigation/loisirs
264;Laye;"Type ""classique""";PACA;Alpes de Haute Provence;Mane;La Laye;1965;43,9439;5,74972;43,943853;5,749338;43,944873;5,748136;30;3,5;30;130;465;Syndicat Intercommunal d'Irrigation de Forcalquier;Irrigation / Alimentation en eau
265;Lescouroux;"Retenue ""classique""";Nouvelle Aquitaine;Lot-et-Garonne;Soumensac;Lescouroux;1994;44,6647;0,347778;44,664263;0,347143;44,669024;0,348688;19;8,3;99,7;48;64;CACG;Irrigation / Alimentation en eau
266;Liaussac (Etang);"Retenue ""classique""";Occitanie;Aveyron;Montézic;Prat;1981;44,7258;2,64861;44,725854;2,648757;44,718993;2,657898;16,65;33,6;232;16,8;706;EDF;Hydroélectricité
267;Liez;"Retenue ""classique""";Grand-Est;Haute Marne;Peigney;La Liez;?;47,8664;5,37389;47,866588;5,373543;47,867279;5,379551;16,6;13,8;277;48;353,1;VNF;Navigation/Alimentation en eau/Crues/Loisirs
